game_no,James Harden,Nikola Jokic,Damian Lillard,Luka Doncic,LeBron James,Kawhi Leonard,Chris Paul,Pascal Siakam,Giannis Antetokounmpo,Anthony Davis
1,10,2,12,0,4,3,4,4,1,5
2,9,13,8,10,12,6,7,2,1,4
3,7,4,7,19,7,5,9,3,4,3
4,12,7,5,6,4,3,5,0,4,5
5,9,13,12,12,9,5,6,1,8,4
6,7,11,8,11,5,4,8,3,7,3
7,8,10,16,10,7,5,7,3,6,4
8,7,6,9,9,9,0,7,8,6,2
9,6,8,7,8,9,5,12,5,3,2
10,14,7,6,8,8,1,6,5,6,0
11,4,8,6,6,14,3,7,3,6,2
12,8,8,5,10,13,5,5,5,8,4
13,8,7,10,9,10,5,7,4,2,1
14,3,11,6,10,6,3,9,3,8,3
15,9,2,8,14,9,5,10,3,4,3
16,7,4,6,7,7,4,2,3,9,4
17,10,6,10,8,14,9,12,4,6,2
18,7,5,9,8,9,3,7,5,6,5
19,10,6,12,2,11,9,5,4,9,4
20,5,13,10,5,15,7,7,0,9,3
21,7,6,11,7,9,4,7,5,6,1
22,12,10,13,9,11,7,10,5,10,6
23,9,9,8,9,10,10,10,4,4,6
24,6,11,7,7,8,2,10,2,7,2
25,4,9,6,17,10,6,5,2,4,2
26,5,10,10,2,5,5,6,3,6,5
27,5,5,7,12,13,4,3,3,5,2
28,6,11,9,7,12,4,7,3,4,5
29,7,7,5,10,19,5,6,1,8,2
30,7,10,8,10,8,3,11,3,1,1
31,6,5,9,10,7,5,3,3,4,2
32,8,4,12,7,5,7,8,4,6,4
33,3,8,3,7,11,6,5,4,7,5
34,10,8,8,7,15,5,3,3,9,3
35,11,6,7,15,12,9,6,4,10,1
36,6,5,9,8,13,4,10,5,7,5
37,6,7,8,0,16,2,5,3,4,3
38,11,5,7,11,10,2,7,1,4,1
39,5,4,7,8,11,6,8,2,2,6
40,7,0,6,9,9,5,6,2,8,6
41,10,4,13,6,7,4,11,1,4,2
42,7,4,5,5,12,5,6,5,0,1
43,7,10,11,10,10,3,7,5,3,1
44,7,4,6,11,13,7,5,2,4,2
45,8,10,7,6,8,4,8,3,2,2
46,10,5,8,10,12,6,10,3,4,1
47,4,10,10,14,9,3,12,4,6,6
48,3,12,7,11,8,3,7,5,3,3
49,6,5,6,12,11,7,2,7,15,7
50,8,12,5,7,11,9,7,3,4,4
51,5,6,12,11,14,4,10,6,2,5
52,11,11,8,9,4,3,8,4,6,2
53,12,6,11,8,14,1,5,4,4,4
54,7,4,6,10,10,6,5,5,3,3
55,5,8,10,7,12,10,5,1,4,7
56,6,8,5,15,11,9,7,5,9,3
57,5,6,6,15,12,5,10,3,6,2
58,7,5,5,5,11,6,4,4,8,2
59,9,5,6,9,15,5,5,2,6,2
60,9,10,4,10,6,4,8,5,5,3
61,13,4,9,3,11,9,5,3,7,2
62,6,8,13,9,13,6,9,6,9,5
63,3,3,7,4,16,8,5,2,11,3
64,8,7,5,13,8,3,6,2,0,3
65,9,7,5,10,12,7,9,2,9,4
66,7,6,8,7,10,4,5,6,3,3
67,5,5,4,9,8,4,4,2,9,1
68,14,4,7,0,10,8,2,10,3,5
69,5,6,1,0,7,2,4,5,8,3
70,10,10,5,0,8,6,3,3,7,3
71,9,2,0,0,8,0,12,1,5,1
72,7,12,0,0,9,0,3,0,7,2
73,5,2,0,0,9,0,3,0,0,4
74,9,5,0,0,10,0,3,0,0,4
75,7,4,0,0,8,0,5,0,0,5
76,5,5,0,0,11,0,2,0,0,6
77,15,9,0,0,4,0,9,0,0,4
78,8,2,0,0,12,0,0,0,0,1
79,9,13,0,0,7,0,0,0,0,4
80,3,7,0,0,9,0,0,0,0,5
81,0,5,0,0,5,0,0,0,0,8
82,0,6,0,0,9,0,0,0,0,3
83,0,8,0,0,7,0,0,0,0,1
84,0,4,0,0,10,0,0,0,0,0
85,0,3,0,0,10,0,0,0,0,0
86,0,4,0,0,8,0,0,0,0,0
87,0,9,0,0,7,0,0,0,0,0
88,0,4,0,0,16,0,0,0,0,0
89,0,6,0,0,0,0,0,0,0,0
90,0,6,0,0,0,0,0,0,0,0
91,0,6,0,0,0,0,0,0,0,0
92,0,3,0,0,0,0,0,0,0,0
