game_no,James Harden,Nikola Jokic,Damian Lillard,Luka Doncic,LeBron James,Kawhi Leonard,Chris Paul,Pascal Siakam,Giannis Antetokounmpo,Anthony Davis
1,26,10,44,13,15,33,24,29,10,38
2,35,28,41,35,38,37,24,28,33,35
3,33,26,40,42,35,38,33,36,30,30
4,36,42,39,35,30,37,28,28,16,29
5,33,24,41,44,35,27,31,34,33,39
6,34,32,40,38,35,33,39,36,32,35
7,43,39,44,42,34,25,27,37,36,35
8,36,34,45,40,35,37,37,39,28,37
9,32,34,40,36,35,29,30,38,31,34
10,45,30,33,36,37,33,34,38,35,29
11,28,32,38,30,34,34,31,43,27,39
12,39,30,32,41,36,25,27,40,38,25
13,41,32,37,38,34,36,32,39,25,25
14,28,35,29,38,34,25,35,38,29,36
15,34,25,38,37,35,37,28,30,32,39
16,37,28,43,25,36,46,33,38,34,31
17,30,31,37,34,42,36,34,37,35,42
18,39,34,30,31,30,28,34,37,33,31
19,39,37,36,25,34,31,33,34,31,35
20,30,38,40,33,37,32,34,35,32,40
21,35,34,39,36,34,24,30,40,32,29
22,40,40,38,35,34,34,34,28,31,30
23,39,31,42,35,38,39,26,36,25,39
24,37,40,45,34,35,36,32,34,35,39
25,38,33,36,34,34,34,28,27,21,27
26,35,35,40,27,36,30,29,37,29,30
27,31,39,38,33,29,29,33,33,28,23
28,39,38,36,32,35,36,28,34,32,28
29,39,35,35,37,36,38,34,29,34,38
30,36,34,30,34,33,35,34,24,29,38
31,39,34,37,43,32,25,30,25,31,38
32,28,32,42,34,31,38,32,30,27,36
33,27,44,34,40,35,36,28,30,30,36
34,40,29,35,30,37,38,38,35,31,39
35,41,31,38,30,38,27,32,36,26,34
36,34,34,39,33,34,37,30,35,32,43
37,39,31,37,2,37,27,32,35,34,35
38,38,37,37,34,39,37,36,39,24,38
39,38,30,38,35,37,32,34,36,27,37
40,34,24,36,26,35,32,35,36,35,39
41,36,32,37,32,37,30,34,39,26,32
42,36,27,37,28,37,28,36,35,28,26
43,38,33,38,33,38,26,28,40,22,37
44,36,31,29,38,28,31,31,30,20,36
45,41,31,39,35,34,28,36,40,32,27
46,40,27,41,34,29,28,34,40,35,37
47,39,33,37,28,37,28,35,35,38,33
48,40,31,30,26,36,38,30,35,27,35
49,49,36,37,35,25,41,31,41,36,35
50,31,35,30,36,38,35,37,41,30,37
51,35,31,27,36,35,33,33,44,34,28
52,41,33,37,34,39,34,33,42,28,35
53,42,34,35,29,36,34,29,39,36,38
54,37,31,40,35,37,30,25,37,36,38
55,33,25,37,37,33,32,35,32,36,35
56,39,34,38,34,39,21,32,30,36,31
57,40,36,44,38,26,32,30,36,27,36
58,44,25,40,32,37,44,33,28,36,43
59,38,32,38,38,35,41,38,36,30,31
60,36,35,37,38,36,39,25,38,35,32
61,35,32,39,34,35,39,32,42,29,32
62,37,26,38,42,37,42,31,54,37,37
63,26,28,39,31,43,39,31,29,28,35
64,37,31,38,46,28,32,32,46,11,42
65,38,36,34,29,35,40,29,38,35,42
66,37,38,38,28,31,30,31,43,36,33
67,36,23,27,38,36,47,34,34,37,40
68,36,31,43,0,41,39,19,33,28,38
69,42,27,30,0,42,41,30,33,34,35
70,39,33,43,0,39,38,30,36,31,41
71,38,28,0,0,39,0,40,31,32,43
72,39,41,0,0,39,0,40,0,34,39
73,34,24,0,0,36,0,30,0,0,33
74,37,30,0,0,40,0,37,0,0,34
75,39,36,0,0,38,0,41,0,0,40
76,28,37,0,0,37,0,37,0,0,39
77,43,39,0,0,36,0,37,0,0,36
78,38,25,0,0,31,0,0,0,0,37
79,36,40,0,0,31,0,0,0,0,36
80,34,40,0,0,34,0,0,0,0,18
81,0,40,0,0,38,0,0,0,0,41
82,0,39,0,0,39,0,0,0,0,29
83,0,39,0,0,37,0,0,0,0,39
84,0,37,0,0,34,0,0,0,0,0
85,0,30,0,0,28,0,0,0,0,0
86,0,39,0,0,34,0,0,0,0,0
87,0,36,0,0,27,0,0,0,0,0
88,0,43,0,0,41,0,0,0,0,0
89,0,39,0,0,0,0,0,0,0,0
90,0,32,0,0,0,0,0,0,0,0
91,0,32,0,0,0,0,0,0,0,0
92,0,42,0,0,0,0,0,0,0,0
