game_no,James Harden,Nikola Jokic,Damian Lillard,Luka Doncic,LeBron James,Kawhi Leonard,Chris Paul,Pascal Siakam,Giannis Antetokounmpo,Anthony Davis
1,27,2,42,18,17,26,12,15,12,27
2,45,17,61,25,29,39,14,14,34,8
3,32,12,51,36,31,29,13,26,33,17
4,39,30,22,29,19,27,17,11,16,9
5,23,8,45,34,22,24,21,15,36,42
6,24,25,21,40,20,28,23,22,36,14
7,49,30,30,28,16,23,18,15,32,34
8,37,19,29,28,29,27,28,27,29,26
9,23,14,25,38,28,25,21,23,13,30
10,30,10,12,36,37,25,16,17,41,30
11,16,8,24,21,22,30,14,33,32,37
12,35,14,22,30,34,19,18,16,19,15
13,21,16,20,23,19,24,17,24,22,23
14,30,23,20,23,40,25,19,22,31,21
15,37,21,33,26,29,31,12,21,33,32
16,38,16,42,20,32,28,29,37,18,28
17,29,24,26,33,32,30,14,16,36,33
18,42,32,21,33,17,29,31,34,34,25
19,28,22,51,21,22,14,22,20,30,27
20,32,19,48,29,18,22,22,15,31,32
21,14,23,36,25,36,31,12,25,30,18
22,40,30,50,27,15,31,20,17,28,21
23,40,29,47,36,22,33,9,30,29,37
24,35,39,61,35,29,36,25,19,32,31
25,18,15,34,25,27,39,18,24,37,16
26,12,28,34,20,21,32,19,35,32,28
27,27,25,25,19,15,43,28,23,13,9
28,29,24,30,25,31,30,30,18,30,5
29,34,27,26,27,19,36,14,18,24,24
30,13,19,20,38,31,24,16,14,32,46
31,41,17,20,39,35,18,10,12,32,26
32,32,30,34,31,31,24,16,21,23,23
33,17,23,35,35,21,19,18,15,18,20
34,41,12,11,19,17,35,28,26,18,24
35,44,20,33,31,31,26,18,33,22,32
36,35,19,31,24,13,25,7,30,34,36
37,44,33,34,2,21,20,16,24,48,27
38,24,47,18,41,23,42,17,22,29,33
39,34,14,29,27,21,23,25,16,37,16
40,47,22,36,26,20,34,16,24,32,50
41,28,21,31,22,32,17,23,15,27,39
42,28,17,27,33,28,11,12,35,35,26
43,39,31,13,27,25,34,15,10,29,25
44,54,23,31,42,32,19,18,31,26,27
45,55,22,26,22,31,28,30,25,33,26
46,27,18,29,41,20,26,15,34,30,41
47,34,22,24,30,25,24,8,18,50,19
48,23,18,16,35,25,17,16,20,28,22
49,50,25,28,42,23,26,20,15,24,33
50,60,28,27,26,29,12,30,36,33,34
51,34,20,13,33,33,27,4,16,33,14
52,32,15,23,34,30,30,16,24,26,17
53,37,24,13,24,23,38,7,44,38,24
54,27,30,22,38,25,30,16,23,35,27
55,36,6,9,27,33,27,20,16,30,26
56,49,13,27,29,29,21,18,30,38,15
57,44,7,30,31,23,30,4,24,34,25
58,47,8,60,12,19,14,22,19,36,31
59,39,8,22,29,13,25,27,33,29,40
60,42,18,39,25,25,36,7,34,22,29
61,36,27,33,34,30,30,17,13,14,21
62,44,9,23,38,21,23,16,12,29,25
63,29,18,28,22,39,13,19,10,30,19
64,36,20,28,43,23,29,20,23,19,28
65,59,20,35,13,20,33,15,16,21,22
66,40,26,32,28,32,32,21,17,29,15
67,29,9,11,42,18,32,15,13,18,32
68,19,20,34,0,28,36,10,20,28,34
69,30,13,18,0,40,35,6,26,31,27
70,21,10,34,0,28,29,22,19,35,34
71,33,9,0,0,25,0,19,18,28,27
72,27,23,0,0,33,0,28,0,31,31
73,36,20,0,0,25,0,16,0,0,37
74,17,20,0,0,38,0,26,0,0,13
75,32,16,0,0,26,0,26,0,0,29
76,31,22,0,0,30,0,14,0,0,26
77,32,30,0,0,26,0,20,0,0,34
78,38,21,0,0,15,0,0,0,0,25
79,21,16,0,0,29,0,0,0,0,43
80,37,34,0,0,16,0,0,0,0,18
81,0,22,0,0,36,0,0,0,0,29
82,0,26,0,0,28,0,0,0,0,31
83,0,32,0,0,20,0,0,0,0,28
84,0,26,0,0,36,0,0,0,0,0
85,0,15,0,0,30,0,0,0,0,0
86,0,30,0,0,38,0,0,0,0,0
87,0,22,0,0,10,0,0,0,0,0
88,0,31,0,0,23,0,0,0,0,0
89,0,29,0,0,0,0,0,0,0,0
90,0,15,0,0,0,0,0,0,0,0
91,0,28,0,0,0,0,0,0,0,0
92,0,29,0,0,0,0,0,0,0,0
