game_no,James Harden,Nikola Jokic,Damian Lillard,Luka Doncic,LeBron James,Kawhi Leonard,Chris Paul,Pascal Siakam,Giannis Antetokounmpo,Anthony Davis
1,3,1,3,5,3,5,7,9,9,6
2,17,7,5,8,1,2,5,7,13,8
3,8,1,3,14,8,6,6,1,12,12
4,8,11,3,3,11,7,5,2,6,8
5,6,5,4,20,8,6,7,6,18,12
6,7,4,9,8,10,3,2,6,15,6
7,9,12,2,13,11,4,7,9,11,8
8,4,7,5,6,12,2,6,11,12,8
9,7,13,5,7,8,6,3,8,15,7
10,10,9,3,10,8,8,4,5,20,9
11,7,8,3,4,7,6,2,7,13,13
12,2,11,4,17,12,2,3,7,19,9
13,4,13,5,5,8,14,4,9,14,6
14,7,18,5,4,8,8,3,6,17,14
15,6,9,4,10,8,8,9,2,16,13
16,5,5,6,9,3,11,4,12,18,13
17,3,7,2,10,12,4,8,8,20,10
18,8,7,2,12,8,6,2,6,17,10
19,10,11,2,6,8,7,5,7,19,10
20,2,8,9,11,9,6,6,4,16,13
21,7,9,10,6,7,6,3,9,16,6
22,9,21,6,6,10,14,6,9,14,4
23,10,13,6,10,8,10,7,7,12,16
24,16,10,10,8,7,11,4,5,17,7
25,5,10,0,15,11,6,6,9,9,11
26,4,4,1,8,6,5,3,8,17,5
27,5,13,7,8,7,3,8,7,10,4
28,9,12,3,10,5,5,4,15,13,6
29,6,12,3,9,3,9,3,6,12,11
30,8,12,4,11,2,8,5,4,8,13
31,6,13,4,12,16,6,4,2,17,11
32,12,10,1,13,5,2,5,4,10,9
33,3,12,3,10,14,4,6,5,14,9
34,10,8,10,4,8,12,6,5,19,6
35,11,15,5,12,13,7,8,4,11,11
36,3,12,2,10,6,9,4,10,11,10
37,10,6,4,1,7,6,8,4,14,13
38,6,8,3,12,9,11,8,6,4,10
39,5,10,3,7,12,5,11,7,11,12
40,6,7,3,6,9,11,7,9,15,7
41,1,8,5,7,13,5,6,12,11,9
42,8,8,1,18,9,9,7,5,9,6
43,6,10,2,9,11,6,2,13,15,10
44,5,10,2,9,4,7,4,8,9,10
45,3,12,3,8,7,8,10,7,12,13
46,4,6,7,6,4,4,4,4,10,9
47,6,10,4,7,6,6,7,11,14,12
48,7,9,2,10,9,6,4,8,10,4
49,9,10,2,11,3,12,4,3,19,11
50,3,14,5,15,5,11,4,6,11,7
51,6,11,2,10,4,13,3,10,10,1
52,9,7,8,6,6,6,4,11,13,5
53,8,11,6,14,6,12,6,10,16,12
54,7,10,6,14,11,7,2,13,16,8
55,6,10,1,7,7,8,7,5,13,8
56,6,5,4,14,4,5,4,5,16,7
57,8,10,7,13,6,6,5,9,15,11
58,6,20,4,4,7,6,4,6,15,8
59,4,13,6,12,13,8,8,8,14,20
60,10,16,2,10,4,9,4,18,14,14
61,4,12,5,9,10,11,5,11,10,7
62,10,5,7,9,11,14,5,8,17,9
63,4,10,9,8,12,10,2,4,13,15
64,5,6,3,17,2,2,2,11,4,12
65,3,6,5,10,6,14,1,7,16,9
66,3,10,4,8,7,7,5,8,14,5
67,4,5,1,7,10,9,4,3,10,14
68,7,7,5,0,14,9,2,6,17,9
69,6,6,3,0,13,10,2,8,15,5
70,4,10,5,0,12,12,8,6,11,5
71,9,13,0,0,10,0,11,11,20,2
72,2,14,0,0,9,0,7,0,17,9
73,2,13,0,0,13,0,6,0,0,10
74,3,7,0,0,16,0,6,0,0,11
75,8,7,0,0,9,0,6,0,0,12
76,2,10,0,0,10,0,6,0,0,15
77,8,6,0,0,11,0,10,0,0,10
78,7,6,0,0,6,0,0,0,0,14
79,5,22,0,0,11,0,0,0,0,9
80,11,14,0,0,15,0,0,0,0,5
81,0,14,0,0,7,0,0,0,0,11
82,0,11,0,0,11,0,0,0,0,11
83,0,12,0,0,8,0,0,0,0,11
84,0,18,0,0,10,0,0,0,0,0
85,0,3,0,0,6,0,0,0,0,0
86,0,14,0,0,12,0,0,0,0,0
87,0,4,0,0,6,0,0,0,0,0
88,0,6,0,0,17,0,0,0,0,0
89,0,7,0,0,0,0,0,0,0,0
90,0,5,0,0,0,0,0,0,0,0
91,0,11,0,0,0,0,0,0,0,0
92,0,10,0,0,0,0,0,0,0,0
